Resor bokade av LTN´s kundservice till/från/inom Jokkmokk år 2019,,,,,,,,,,,
,,,,,,,,,,,
Förklaring,,,,,,,,,,,
"Plats: B=Bud, E=Ensamåkare, F=Framsäte, f= Fällt Framsäte, H=Hela baksätet, L=Liggande, 2=Max 2 pass i baksätet ",,,,,,,,,,,
"Biltyp: AN=Personbil, S1=Multi/Specialfordon",,,,,,,,,,,
,,,,,,,,,,,
Resdag,Avresetid,Biltyp,Plats,Antal pass,Från gata,Från ort,Från Kommun,Till gata,Till ort ,Till kommun,Linjenr
1/9/2019,14:15,AN,F,1,SJUKHUSET,GÄLLIVARE,GÄ,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,0
1/9/2019,14:15,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,ULLENIUSG,JOKKMOKK,JO,0
1/9/2019,15:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,BODENV,VUOLLERIM,JO,0
1/9/2019,15:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,LÄKARG,JOKKMOKK,JO,0
1/9/2019,15:30,AN,,1,SPF FJÄLLVINDEN,JOKKMOKK,JO,MATTISUDDEN,MATTISUDDEN,JO,0
1/9/2019,16:15,LI,,1,BSTN JOKKMOKK,JOKKMOKK,JO,FLP LULEÅ,LULEÅ,LU,712
1/9/2019,16:15,LI,,1,BSTN JOKKMOKK,JOKKMOKK,JO,FLP LULEÅ,LULEÅ,LU,712
1/9/2019,16:15,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,RAJDV,JOKKMOKK,JO,0
1/9/2019,17:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,BERGV,VUOLLERIM,JO,0
1/10/2019,03:10,LI,,1,BSTN JOKKMOKK,JOKKMOKK,JO,FLP LULEÅ,LULEÅ,LU,712
1/10/2019,07:15,AN,,1,LÅNGG,VUOLLERIM,JO,BUP,LULEÅ,LU,0
1/10/2019,08:25,AN,,1,DOMÄNV,VUOLLERIM,JO,TV FTV JOKKMOKK,JOKKMOKK,JO,0
1/10/2019,08:40,AN,,1,TELLEJOKK,TELLEJOKK,JO,SGYM REHABCENTRUM,JOKKMOKK,JO,0
1/10/2019,08:40,AN,,1,TELLEJOKK,TELLEJOKK,JO,SGYM REHABCENTRUM,JOKKMOKK,JO,0
1/10/2019,10:05,LI,,1,FLP LULEÅ,LULEÅ,LU,BSTN JOKKMOKK,JOKKMOKK,JO,712
1/10/2019,10:05,LI,,1,FLP LULEÅ,LULEÅ,LU,BSTN JOKKMOKK,JOKKMOKK,JO,712
1/10/2019,10:05,LI,,1,FLP LULEÅ,LULEÅ,LU,BSTN JOKKMOKK,JOKKMOKK,JO,712
1/10/2019,10:05,LI,,1,FLP LULEÅ,LULEÅ,LU,BSTN JOKKMOKK,JOKKMOKK,JO,712
1/10/2019,10:06,AN,F,1,FÖRENINGSG,JOKKMOKK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/10/2019,10:15,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,POLCIRKELV,MURJEK,JO,0
1/10/2019,10:24,AN,,1,WÄSTFELTSG,JOKKMOKK,JO,SJUKHUSET,SUNDERBYN,LU,0
1/10/2019,10:30,AN,,1,TV FTV JOKKMOKK,JOKKMOKK,JO,DOMÄNV,VUOLLERIM,JO,0
1/10/2019,11:00,AN,F,1,SJUKHUSET,SUNDERBYN,LU,RÖNNSTIGEN,VUOLLERIM,JO,0
1/10/2019,12:04,AN,,2,KAITUMGÅRDEN SVALAN,JOKKMOKK,JO,TV FTV JOKKMOKK,JOKKMOKK,JO,0
1/10/2019,12:13,AN,,0,FRAMKÖRNING,,,SNICKARGRÄND,VUOLLERIM,JO,0
1/10/2019,12:15,AN,F,1,SNICKARGRÄND,VUOLLERIM,JO,BODENV,VUOLLERIM,JO,0
1/10/2019,12:36,AN,,1,TÅRRAJAUR,TÅRRAJAUR,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/10/2019,12:45,AN,,1,BUP,LULEÅ,LU,LÅNGG,VUOLLERIM,JO,0
1/10/2019,13:00,AN,F,1,BODENV,VUOLLERIM,JO,SNICKARGRÄND,VUOLLERIM,JO,0
1/10/2019,13:00,AN,F,1,HC JOKKMOKK,JOKKMOKK,JO,FÖRENINGSG,JOKKMOKK,JO,0
1/10/2019,13:02,AN,,1,SGYM REHABCENTRUM,JOKKMOKK,JO,TELLEJOKK,TELLEJOKK,JO,0
